##技能ID（Type*100+lv）,INT_Type,名称,说明,所属大类,等级,等级上限,需求建筑等级,前置研究ID,粮食需求,石头需求,木材需求,铁矿需求,金币需求,道具需求1（ID#数量）,效果ID（BuffID）,效果值,研究时间（秒）,领主经验,战斗力,名字文本,描述文本,升级数值类型：0不显示，1绝对值，2百分数,图标,脚标
ID,Type,Desc,DEC,Class,Level,MaxLevel,BuildLevelReq,PreTech1ID,FoodReq,StoneReq,WoodReq,IronReq,CoinReq,Item1Req,Param1,Param2,Time,ExpAward,PowerAward,STR_LcT,STR_LcD,TYPE,Icon,Icon_Small
int,int,string,string,int,int,int,int,string,int,int,int,int,int,string,int,int,int,int,int,string,string,int,String,String
10101,101,建设,提高所有建筑的升级速度 ,1,1,10,1,0,26666,0,0,0,20000,0,179,100,10800,50000,1000,LC_RESEARCH_Economy_101,LC_COMMON_BUFF_TYPE_179,2,icon_college_eoc_02,0
10102,101,0,0,1,2,10,3,10101,53333,0,0,0,40000,0,179,300,21600,100000,2000,LC_RESEARCH_Economy_101,LC_COMMON_BUFF_TYPE_179,2,icon_college_eoc_02,0
10103,101,0,0,1,3,10,5,10102,106666,106666,106666,0,80000,0,179,600,43200,150000,4000,LC_RESEARCH_Economy_101,LC_COMMON_BUFF_TYPE_179,2,icon_college_eoc_02,0
10104,101,0,0,1,4,10,7,10103,213333,213333,213333,0,160000,0,179,1000,86400,200000,8000,LC_RESEARCH_Economy_101,LC_COMMON_BUFF_TYPE_179,2,icon_college_eoc_02,0
10105,101,0,0,1,5,10,9,10104,426666,426666,426666,0,320000,0,179,1500,172800,250000,16000,LC_RESEARCH_Economy_101,LC_COMMON_BUFF_TYPE_179,2,icon_college_eoc_02,0
10106,101,0,0,1,6,10,12,10105,853333,853333,853333,853333,640000,0,179,2100,345600,300000,32000,LC_RESEARCH_Economy_101,LC_COMMON_BUFF_TYPE_179,2,icon_college_eoc_02,0
10107,101,0,0,1,7,10,15,10106,1706666,1706666,1706666,1706666,1280000,0,179,2800,691200,350000,64000,LC_RESEARCH_Economy_101,LC_COMMON_BUFF_TYPE_179,2,icon_college_eoc_02,0
10108,101,0,0,1,8,10,18,10107,3413333,3413333,3413333,3413333,2560000,0,179,3600,1382400,400000,128000,LC_RESEARCH_Economy_101,LC_COMMON_BUFF_TYPE_179,2,icon_college_eoc_02,0
10109,101,0,0,1,9,10,21,10108,6826666,6826666,6826666,6826666,5120000,0,179,4600,2764800,450000,256000,LC_RESEARCH_Economy_101,LC_COMMON_BUFF_TYPE_179,2,icon_college_eoc_02,0
10110,101,0,0,1,10,10,23,10109,13653333,13653333,13653333,13653333,10240000,0,179,6600,5529600,500000,512000,LC_RESEARCH_Economy_101,LC_COMMON_BUFF_TYPE_179,2,icon_college_eoc_02,0
10201,102,保险箱,提高仓库保护量,1,1,10,3,10101,668,0,0,0,2500,0,120,100,1200,12500,125,LC_RESEARCH_Economy_102,LC_COMMON_BUFF_TYPE_120,2,icon_college_eoc_02,0
10202,102,0,0,1,2,10,5,0,1336,0,0,0,6250,0,120,300,2400,25000,312,LC_RESEARCH_Economy_102,LC_COMMON_BUFF_TYPE_120,2,icon_college_eoc_02,0
10203,102,0,0,1,3,10,7,0,2672,0,0,0,15625,0,120,600,7200,50000,781,LC_RESEARCH_Economy_102,LC_COMMON_BUFF_TYPE_120,2,icon_college_eoc_02,0
10204,102,0,0,1,4,10,9,0,5345,267,267,0,39060,0,120,1000,21600,75000,1953,LC_RESEARCH_Economy_102,LC_COMMON_BUFF_TYPE_120,2,icon_college_eoc_02,0
10205,102,0,0,1,5,10,12,0,10691,534,534,0,97650,0,120,1500,64800,100000,4882,LC_RESEARCH_Economy_102,LC_COMMON_BUFF_TYPE_120,2,icon_college_eoc_02,0
10206,102,0,0,1,6,10,15,0,21383,1069,1069,17106,244125,0,120,2200,129600,125000,12206,LC_RESEARCH_Economy_102,LC_COMMON_BUFF_TYPE_120,2,icon_college_eoc_02,0
10207,102,0,0,1,7,10,18,10107,42766,2138,2138,34213,610310,0,120,3000,259200,150000,30515,LC_RESEARCH_Economy_102,LC_COMMON_BUFF_TYPE_120,2,icon_college_eoc_02,0
10208,102,0,0,1,8,10,21,0,85532,4276,4276,68426,1525775,0,120,4200,518400,175000,76288,LC_RESEARCH_Economy_102,LC_COMMON_BUFF_TYPE_120,2,icon_college_eoc_02,0
10209,102,0,0,1,9,10,23,0,171065,8553,8553,136852,3814435,0,120,5600,1036800,200000,190721,LC_RESEARCH_Economy_102,LC_COMMON_BUFF_TYPE_120,2,icon_college_eoc_02,0
10210,102,0,0,1,10,10,25,10110,342130,17106,17106,273704,9536085,0,120,8000,2073600,225000,476804,LC_RESEARCH_Economy_102,LC_COMMON_BUFF_TYPE_120,2,icon_college_eoc_02,0
10301,103,收割,提高粮食产量,1,1,10,3,10101,31,0,0,0,2400,0,168,100,900,12500,120,LC_RESEARCH_Economy_103,LC_COMMON_BUFF_TYPE_168,2,icon_college_eoc_02,0
10302,103,0,0,1,2,10,5,0,63,0,0,0,6000,0,168,300,1800,25000,300,LC_RESEARCH_Economy_103,LC_COMMON_BUFF_TYPE_168,2,icon_college_eoc_02,0
10303,103,0,0,1,3,10,7,0,127,0,0,0,15000,0,168,600,5400,50000,750,LC_RESEARCH_Economy_103,LC_COMMON_BUFF_TYPE_168,2,icon_college_eoc_02,0
10304,103,0,0,1,4,10,9,0,255,4086,4086,0,37500,0,168,1000,16200,75000,1875,LC_RESEARCH_Economy_103,LC_COMMON_BUFF_TYPE_168,2,icon_college_eoc_02,0
10305,103,0,0,1,5,10,12,0,510,8172,8172,0,93750,0,168,1500,48600,100000,4687,LC_RESEARCH_Economy_103,LC_COMMON_BUFF_TYPE_168,2,icon_college_eoc_02,0
