##天赋ID,唯一ID,Type(1-经济天赋，2-战斗天赋）,天赋名(自用）,天赋等级,等级上限,前置天赋（天赋1#天赋2#天赋3..）,BUFFID,BUFF值（万分比）,名称文本,说明文本,ICON,脚标
ID,UID,Type,Name,Level,INT_MaxLevel,INT_PreTech1ID,INT_Param1,INT_Param2,STR_LcT,STR_LcD,STR_PIC,Icon_Small
int,int,int,string,int,int,string,int,int,string,string,string,String
10101,1,1,部队攻击I,1,5,0,156,40,LC_COMMON_TALENT_NAME_1,LC_COMMON_BUFF_TYPE_156,icon_Attack.png,icon_research_lv1.png
10102,1,1,0,2,5,10101,156,80,LC_COMMON_TALENT_NAME_1,LC_COMMON_BUFF_TYPE_156,icon_Attack.png,icon_research_lv1.png
10103,1,1,0,3,5,10102,156,150,LC_COMMON_TALENT_NAME_1,LC_COMMON_BUFF_TYPE_156,icon_Attack.png,icon_research_lv1.png
10104,1,1,0,4,5,10103,156,250,LC_COMMON_TALENT_NAME_1,LC_COMMON_BUFF_TYPE_156,icon_Attack.png,icon_research_lv1.png
10105,1,1,0,5,5,10104,156,500,LC_COMMON_TALENT_NAME_1,LC_COMMON_BUFF_TYPE_156,icon_Attack.png,icon_research_lv1.png
10201,2,1,部队训练I,1,15,10103,116,50,LC_COMMON_TALENT_NAME_2,LC_COMMON_BUFF_TYPE_116,icon_research_Impartment.png,icon_research_lv1.png
10202,2,1,0,2,15,10201,116,100,LC_COMMON_TALENT_NAME_2,LC_COMMON_BUFF_TYPE_116,icon_research_Impartment.png,icon_research_lv1.png
10203,2,1,0,3,15,10202,116,150,LC_COMMON_TALENT_NAME_2,LC_COMMON_BUFF_TYPE_116,icon_research_Impartment.png,icon_research_lv1.png
10204,2,1,0,4,15,10203,116,200,LC_COMMON_TALENT_NAME_2,LC_COMMON_BUFF_TYPE_116,icon_research_Impartment.png,icon_research_lv1.png
10205,2,1,0,5,15,10204,116,300,LC_COMMON_TALENT_NAME_2,LC_COMMON_BUFF_TYPE_116,icon_research_Impartment.png,icon_research_lv1.png
10206,2,1,0,6,15,10205,116,400,LC_COMMON_TALENT_NAME_2,LC_COMMON_BUFF_TYPE_116,icon_research_Impartment.png,icon_research_lv1.png
10207,2,1,0,7,15,10206,116,500,LC_COMMON_TALENT_NAME_2,LC_COMMON_BUFF_TYPE_116,icon_research_Impartment.png,icon_research_lv1.png
10208,2,1,0,8,15,10207,116,600,LC_COMMON_TALENT_NAME_2,LC_COMMON_BUFF_TYPE_116,icon_research_Impartment.png,icon_research_lv1.png
10209,2,1,0,9,15,10208,116,750,LC_COMMON_TALENT_NAME_2,LC_COMMON_BUFF_TYPE_116,icon_research_Impartment.png,icon_research_lv1.png
10210,2,1,0,10,15,10209,116,900,LC_COMMON_TALENT_NAME_2,LC_COMMON_BUFF_TYPE_116,icon_research_Impartment.png,icon_research_lv1.png
10211,2,1,0,11,15,10210,116,1050,LC_COMMON_TALENT_NAME_2,LC_COMMON_BUFF_TYPE_116,icon_research_Impartment.png,icon_research_lv1.png
10212,2,1,0,12,15,10211,116,1200,LC_COMMON_TALENT_NAME_2,LC_COMMON_BUFF_TYPE_116,icon_research_Impartment.png,icon_research_lv1.png
10213,2,1,0,13,15,10212,116,1600,LC_COMMON_TALENT_NAME_2,LC_COMMON_BUFF_TYPE_116,icon_research_Impartment.png,icon_research_lv1.png
10214,2,1,0,14,15,10213,116,2000,LC_COMMON_TALENT_NAME_2,LC_COMMON_BUFF_TYPE_116,icon_research_Impartment.png,icon_research_lv1.png
10215,2,1,0,15,15,10214,116,3000,LC_COMMON_TALENT_NAME_2,LC_COMMON_BUFF_TYPE_116,icon_research_Impartment.png,icon_research_lv1.png
10301,3,1,骑兵攻击I,1,15,10203,144,50,LC_COMMON_TALENT_NAME_3,LC_COMMON_BUFF_TYPE_144,icon_research_Impartment.png,icon_research_lv1.png
10302,3,1,0,2,15,10301,144,100,LC_COMMON_TALENT_NAME_3,LC_COMMON_BUFF_TYPE_144,icon_research_Impartment.png,icon_research_lv1.png
10303,3,1,0,3,15,10302,144,150,LC_COMMON_TALENT_NAME_3,LC_COMMON_BUFF_TYPE_144,icon_research_Impartment.png,icon_research_lv1.png
10304,3,1,0,4,15,10303,144,200,LC_COMMON_TALENT_NAME_3,LC_COMMON_BUFF_TYPE_144,icon_research_Impartment.png,icon_research_lv1.png
10305,3,1,0,5,15,10304,144,300,LC_COMMON_TALENT_NAME_3,LC_COMMON_BUFF_TYPE_144,icon_research_Impartment.png,icon_research_lv1.png
10306,3,1,0,6,15,10305,144,400,LC_COMMON_TALENT_NAME_3,LC_COMMON_BUFF_TYPE_144,icon_research_Impartment.png,icon_research_lv1.png
10307,3,1,0,7,15,10306,144,500,LC_COMMON_TALENT_NAME_3,LC_COMMON_BUFF_TYPE_144,icon_research_Impartment.png,icon_research_lv1.png
10308,3,1,0,8,15,10307,144,600,LC_COMMON_TALENT_NAME_3,LC_COMMON_BUFF_TYPE_144,icon_research_Impartment.png,icon_research_lv1.png
10309,3,1,0,9,15,10308,144,750,LC_COMMON_TALENT_NAME_3,LC_COMMON_BUFF_TYPE_144,icon_research_Impartment.png,icon_research_lv1.png
